id,epic,title,repo,acceptance_criteria,required_tests,notes
CORE-CONC-001,Concurrency and Transactional Integrity,"Add optimistic concurrency tokens to mutable aggregates",livecore-platform,"Mutable aggregates (Session, VisibilityRule, PurchaseTransaction, Workspace, Participant, quota usage) carry a concurrency token (Postgres xmin) so a concurrent read-modify-write fails loudly instead of silently losing an update; a conflicting write returns 409/retry rather than overwriting.","Integration: two interleaved updates to one Session (start vs end) and one VisibilityRule (reveal vs hide) - the second write detects the conflict; single-writer happy path unaffected.","TIER 1 CRITICAL (release blocker). A repo-wide search for RowVersion/IsRowVersion/IsConcurrencyToken/xmin returns ZERO matches in apps/api; Session and VisibilityRule are written with a bare Update+SaveChanges (SessionRepository.cs UpdateAsync ~143-154, VisibilityRuleRepository.cs UpdateAsync ~144-154). The CanStart/CanEnd state-machine guards are in-memory only and give no cross-DbContext/replica protection, so concurrent commands silently lose updates. Map the Postgres system column xmin as an EF concurrency token (Property<uint>(xmin).IsRowVersion().HasColumnName(xmin)) on the mutable aggregates and translate DbUpdateConcurrencyException to 409 on the endpoints. No data migration needed (xmin is a system column). Reuse the existing repositories; do not change their public contracts."
CORE-CONC-002,Concurrency and Transactional Integrity,"Wrap multi-step command handlers in a single transaction (unit of work)",livecore-platform,"Each command that performs a rule/state change plus audit plus event-append plus quota change commits them in ONE database transaction; a part-way failure rolls everything back so the append-only event stream can never diverge from persisted state; realtime delivery happens after commit.","Integration: inject a failure after the rule change but before the event append and assert NOTHING persisted (no orphan audit, no half-applied reveal); happy path persists every effect exactly once.","TIER 1 CRITICAL (release blocker). Today each repository call is its own SaveChangesAsync with no unit-of-work spanning a handler: RevealService.ApplyVisibilityChangeAsync commits the rule, then audit, then idempotency key as separate saves (RevealService.cs ~283-309), then the endpoint publishes 2-3 events each its own append (RevealEndpoints.cs ~271-335; SessionEventPublisher.PublishAsync appends then delivers ~69-108). Session start does session.Start -> UpdateAsync -> quota record -> audit -> publish separately (SessionEndpoints.cs ~563-595). A crash between steps leaves visibility changed with no ContentRevealed event (replay reconstructs a state the stream never recorded) or double audit/event on retry. Introduce an explicit transaction scope around the full handler for reveal/hide and session start/end/cancel; deliver realtime AFTER commit (commit-then-publish) so a delivery failure cannot roll back committed state. IMPLEMENT the transaction inside DbContext.Database.CreateExecutionStrategy().ExecuteAsync(async () => { BeginTransactionAsync ... CommitAsync }) - NOT a bare user-initiated BeginTransactionAsync - so it stays correct once CORE-CONC-003 enables EnableRetryOnFailure (a retrying execution strategy forbids user transactions outside ExecuteAsync); ExecuteAsync is equally correct with today's default non-retrying strategy. Reuse existing repositories."
CORE-CONC-003,Concurrency and Transactional Integrity,"Add database connection resilience (retry on transient failures)",livecore-platform,"Transient Postgres failures (failover, restart, brief network partition, pool exhaustion) are retried automatically by EF/Npgsql instead of surfacing as request 5xx or worker-job exceptions; retry is enabled for the API and every worker job context.","Integration/unit asserting the DbContext uses a retrying execution strategy; a simulated transient failure is retried and succeeds.","TIER 1 CRITICAL (release blocker, one-line-per-context fix). EnableRetryOnFailure is absent everywhere: Program.cs ~204 (UseNpgsql with no retry) and every worker job extension (AssetCleanupServiceCollectionExtensions.cs ~49, RecapGenerationServiceCollectionExtensions.cs ~52, ExportProcessingServiceCollectionExtensions.cs ~54, StoreNotificationReconciliationServiceCollectionExtensions.cs ~71, LiveCoreDbContextFactory.cs ~54). In the documented topology (API behind a proxy, Postgres as a separate service) a routine DB blip becomes user-facing 5xx and job failures. Add options.UseNpgsql(cs, o => o.EnableRetryOnFailure(...)) consistently. The CORE-CONC-002 transactional commands already run inside CreateExecutionStrategy().ExecuteAsync, so enabling retry is safe - but before enabling, verify no bare user-initiated BeginTransaction remains anywhere (a retrying strategy throws on those). Keep the fail-closed-when-unconfigured posture."
CORE-CONC-004,Concurrency and Transactional Integrity,"Make quota check-and-consume atomic (close the TOCTOU race)",livecore-platform,"Two concurrent commands consuming the same quota cannot both pass the limit; the consume is a single atomic conditional update (or unique reservation) so session.active.max / workspace.active.max cannot be exceeded under a race.","Concurrency test: N parallel session/start (or workspace/create) at a limit of 1 yield exactly 1 success and N-1 quota-exceeded.","TIER 2 HIGH. QuotaEnforcementService does CheckAsync then RecordConsumptionAsync as separate non-transactional steps with no row lock or reserved increment - explicitly acknowledged as a follow-up (QuotaEnforcementService.cs ~30-32). Two concurrent session/start or workspace/create both read used<limit and both record. Replace with an atomic limit-guarded increment (UPDATE ... SET used = used + 1 WHERE used < limit RETURNING, or a unique reservation row) so check+consume is one statement. Reuse the Entitlements quota_usage table. Pairs with CORE-MON-005/006/007 which add the missing enforcement points."
CORE-SVIS-001,Session-Scoped Visibility,"Scope visibility rules and realtime fan-out to the session",livecore-platform,"A reveal made in one session is visible ONLY within that session; a participant connected to a different concurrent session of the same workspace never receives or sees it (live delivery, replay, or visible-feed); visibility decisions and the realtime recipient set are bounded by sessionId.","Integration (crown jewel): workspace W with two live sessions A and B with disjoint participants - a reveal in A is NOT delivered to and NOT in the feed/replay of B's participants; same-session participants still see it; foreign-tenant still 404.","TIER 1 CRITICAL (release blocker - the most severe security finding: cross-session data leak). VisibilityRule has OrganizationId/WorkspaceId/ResourceType/ResourceId/TargetParticipantId but NO SessionId (VisibilityRule.cs ~61-198, VisibilityRuleConfiguration.cs ~66-160), so VisibilityPolicy looks rules up workspace-wide (VisibilityPolicy.cs ~128-185) and SessionEventRecipientResolver fans out via ListActiveByWorkspaceAsync - all active participants of the WORKSPACE, not the session (SessionEventRecipientResolver.cs ~100-113, ParticipantRepository.cs ~97-127). Nothing forbids multiple concurrent sessions per workspace (SessionRepository.cs ~135-137). Add SessionId to VisibilityRule (+ migration + the documented index), thread it through RevealService/VisibilityPolicy, and change the recipient resolver to enumerate participants of the SESSION. DECISION + ADR: confirm reveals are session-scoped (recommended) vs any workspace-shared resource modeled explicitly. Update docs/10, docs/11, csv/database_tables.csv. Reuse VisibilityPolicy as the single decision point; do not fork the logic."
CORE-SVIS-002,Session-Scoped Visibility,"Prevent duplicate and ghost visibility rules (uniqueness and conflict handling)",livecore-platform,"For a given (session, resource, dimension) at most one active visibility rule exists; a hide always fully reverses a prior reveal (no resource stays visible after a successful hide); concurrent first-reveals do not create two rules.","Concurrency: two simultaneous first-reveals of one resource produce one rule not two; reveal-then-hide leaves the resource hidden even under a racing second reveal; idempotent double-hide.","TIER 2 HIGH. The (workspace_id, resource_type, resource_id) index is deliberately NON-unique (VisibilityRuleConfiguration.cs ~116-120); EnsureStateAsync creates a new visible rule when it finds none (RevealService.cs ~374-394) so two concurrent first-reveals with different idempotency keys both AddAsync, and a later Hide flips only inDimension[0] (~374-381) leaving a second rule Visible -> an un-hideable ghost reveal. Add a unique constraint on (session_id, resource_type, resource_id, target_participant_id) (after CORE-SVIS-001 adds session_id) and use insert-on-conflict so the dimension has exactly one row. Depends on CORE-SVIS-001; benefits from CORE-CONC-001. Reuse RevealService + IdempotencyKeyStore."
CORE-RTC-001,Realtime and Event-Stream Correctness,"Add a per-session monotonic event sequence",livecore-platform,"Every session event carries a per-session, gap-free, strictly monotonic sequence number; replay and ordering use that sequence not the UUIDv7 id; events appended in the same millisecond preserve append order; a client detects a missed event by sequence gap.","Append several events within one millisecond and assert read-back order equals append order; replay cursor after sequence N returns N+1.. with no skips/dupes; a missing sequence is detectable.","TIER 2 HIGH. The stream is read OrderBy(e => e.Id) (SessionEventRepository.cs ~52-57) and SessionEvent.Create uses Guid.CreateVersion7() WITHOUT a timestamp (SessionEvent.cs ~286); UUIDv7 is only monotonic at millisecond resolution (the team already hit this - commits 8161ef6/c493446 - but fixed only the TESTS, not production). One reveal publishes ContentRevealed + VisibilityRuleChanged + SceneActivated at the same now (RevealEndpoints.cs ~278-334) so their order is random within the ms. Add a per-session sequence (a session_event_seq counter or a per-session DB sequence, allocated inside the CORE-CONC-002 transaction) and order/replay by (session_id, sequence). Update docs/11 and the SliceAfter cursor (SessionReplayService.cs ~145-167). Reuse the existing append path."
CORE-RTC-002,Realtime and Event-Stream Correctness,"Re-authorize realtime connections on role change and participant removal",livecore-platform,"When a participant is removed or a member is demoted mid-session, their existing live hub connection stops receiving events they are no longer authorized to see (eviction or per-send re-check), not only on reconnect.","Integration: a participant removed mid-session receives no further events on the open socket; a demoted host loses host-group deliveries.","TIER 3 MEDIUM. SessionHub.OnConnectedAsync resolves groups once and joins them (SessionHub.cs ~58-104) with no re-authorization or eviction hook, so a removed participant's still-open connection stays in its groups and a demoted host keeps host/observer group sends (participant audience sends are re-gated per event by SessionEventRecipientResolver, but group membership is not). Add an eviction signal on Participant.Remove / member demotion (abort the connection or remove it from its groups) and/or re-check authorization at send time for host/observer groups. Reuse the connection resolver; do not widen any audience."
CORE-MON-001,Monetization v1,"Reverse the v1 billing deferral in the specifications",livecore-platform,"The specs declare billing/monetization IN SCOPE for v1; docs/01 and docs/24 (and the ENTL/STORE/ADS rows) no longer mark the purchase-to-entitlement grant chain as deferred; a single source of truth states the v1 monetization scope and acceptance.","spec-consistency stays green; boundary scan clean; doc-only change (no Core source).","TIER 1 (enabling, docs-only). Reverses CORE-DOC-002 which formally deferred the purchase->entitlement grant chain for v1 (commit 766ec75). docs/01_PRODUCT_VISION_AND_SCOPE.md lists billing as OUT-OF-SCOPE and docs/24 records the deferral, but the product now REQUIRES monetization in v1. Update docs/01, docs/21, docs/22, docs/24 and the annotated ENTL/STORE/ADS story rows to state billing is in-scope for v1 and define v1 acceptance (a verified purchase grants the buyer a SubjectEntitlement; refunds revoke; free-tier quotas enforced server-side). This story unblocks CORE-MON-002..010. Docs/csv only."
CORE-MON-002,Monetization v1,"Add buyer linkage to verified purchases (billing_account_links)",livecore-platform,"A verified purchase is durably linked to the authenticated buyer (subject) so it can later grant that subject an entitlement; the same external receipt cannot be claimed by two different subjects.","Integration: a verified purchase records the buyer; user B cannot bind user A's transaction/receipt; foreign-tenant denied.","TIER 1 CRITICAL for monetization. PurchaseTransaction has NO subject/user/org column - the authenticated buyer is verified then discarded (PurchaseTransaction.cs ~26-29 NO BUYER COLUMN ... a later story; ApplePurchaseEndpoints.cs ~88-94/149-157 only RecordVerifiedPurchaseAsync), and the idempotency key (provider, provider_transaction_id) is global/user-independent so two users submitting the same receipt collapse to one row. Add the documented billing_account_links table (or a subject column on the purchase) linking purchase -> subject, with a uniqueness rule that a receipt maps to exactly one subject. Reuse the Store + Entitlements modules and the existing verify pipeline - this is the prerequisite the deferral named (docs/24 ~88-89). Update docs/10, csv/database_tables.csv, csv/entitlement_database_tables.csv. Fail-closed."
