id,epic,title,repo,acceptance_criteria,required_tests,notes
CORE-RCP-003,Vertical Authoring and Read API Completeness,Add the recap read endpoint,livecore-platform,"A host or authorized member can read a generated recap for a session through a role-projected response; the response is tenant/workspace/session-scoped and fail-closed; an unauthorized role or foreign tenant gets a hidden-404/403; the participant-facing projection excludes host-only content (T8).","Integration: a generated recap is readable by Host/Owner/Admin with the host projection; a participant reading the same recap gets only the participant-safe projection; a foreign-tenant or unknown recap is hidden-404; a non-member is denied; no host-only field leaks into the participant projection.","TIER 1 HIGH (consumability/functional - a recap is generated and persisted but has NO HTTP surface, so an end user cannot retrieve it; recorded as a deliberate Core-later deferral in docs/24 CORE-SPEC-003). Domain + role projection already exist: Recap.cs ~32-55 and the recap worker job (CORE-RCP-001/002). Add GET /api/v1/sessions/{sessionId}/recap reusing the host-vs-participant projection already exercised by CORE-E2E-003. Authorize like the session read surface; fail-closed; hidden-404. Reuse RecapRepository. Update csv/api_routes.csv, docs/08, docs/24 (move recap-read out of deliberately-absent), and the SDK in CORE-SDK-006."
CORE-EXP-001,Vertical Authoring and Read API Completeness,Add the export read and download endpoint,livecore-platform,"An authorized host/admin can retrieve a completed export artifact through a role-scoped endpoint; the artifact is delivered by a short-lived signed URL or an authorized stream, never a public/static URL (T4/T8); the export projection is role-scoped so a participant-scoped export never contains host-only content; tenant/workspace-scoped; fail-closed; hidden-404.","Integration: a completed export is downloadable by Host/Owner/Admin; the download is authorized before any URL/stream is produced; a foreign-tenant or unknown export is hidden-404; a non-authoring role is 403; a participant-scoped export excludes host-only content; an expired or incomplete export is rejected.","TIER 1 HIGH (consumability/functional - export is fully modeled, persisted and role-projected under apps/api/Exports but has zero HTTP surface; ExportManifestProjection.cs ~146, ExportJob.cs ~239; recorded deliberately-absent in docs/24 CORE-SPEC-003). New area CORE-EXP. Reuse the export projection + the asset signed-URL pattern (AssetEndpoints.cs ~393-425) - authorize (tenant + workspace membership + role) BEFORE minting any URL; short-lived, private, no public bucket (T4). Add GET /api/v1/exports/{exportId}. Fail-closed; hidden-404. Update csv/api_routes.csv, docs/08, docs/12, docs/24, and the SDK in CORE-SDK-006."
CORE-ENT-006,Vertical Authoring and Read API Completeness,Add the entity create list and read endpoints,livecore-platform,"An authoring role can create, list and read generic entities within a workspace; create assigns server-side identifiers and is tenant/workspace-scoped and audited; list/read return only the caller tenant/workspace data with a role-appropriate projection (a participant never receives hidden fields, T2); foreign/unknown entities are hidden-404; non-authoring roles cannot create.","Integration: an authoring role creates an entity and reads it back; list returns only same-workspace entities; a foreign-tenant entity is hidden-404; a participant gets the participant-safe projection; a non-authoring role creating is 403; the created entity is audited.","TIER 1 HIGH (consumability - a vertical authors its world through generic entities, but EntityEndpoints.cs ~84 currently exposes ONLY MapDelete; create/list/read are deliberately-absent per docs/24 CORE-SPEC-003, which makes the platform unusable for authoring over the API). Reuse the Entity domain/repository and the existing workspace authorization + hidden-404 helpers (mirror SceneEndpoints authoring authz). Generic only - no vertical entity-type logic in Core source (csv/forbidden_core_terms.csv). Add POST, GET list and GET by-id under /api/v1/workspaces/{workspaceId}/entities. Fail-closed; hidden-404; audited. Update csv/api_routes.csv, docs/08, docs/24, SDK in CORE-SDK-006."
CORE-ENT-007,Vertical Authoring and Read API Completeness,Add the entity-type create list and read endpoints,livecore-platform,"An authoring role can define, list and read generic entity types within a workspace/tenant; entity-type definitions are stored as data (template key plus field/type metadata), never as hardcoded vertical vocabulary in Core source; tenant/workspace-scoped; audited; foreign/unknown types hidden-404; non-authoring roles cannot create.","Integration: an authoring role defines an entity type and lists/reads it; a foreign-tenant type is hidden-404; a non-authoring role is 403; a created type is audited; the boundary scan stays green (no vertical terms).","TIER 2 HIGH (consumability - entity types are how a vertical maps its domain onto Core per the docs/04 template boundary; currently no create/list endpoint, deliberately-absent per docs/24). Store the type as DATA only (docs/04 - no if entityType branching in Core source). Reuse the entity-type model/repository; authorize like entity authoring. Add routes under /api/v1/workspaces/{workspaceId}/entity-types. Fail-closed; hidden-404; audited. Update csv/api_routes.csv, docs/08, docs/24, SDK in CORE-SDK-006. Pairs with CORE-ENT-006 and CORE-TMPL-001."
CORE-TMPL-001,Vertical Authoring and Read API Completeness,Add the template create list and read endpoints,livecore-platform,"An Owner/Admin can create, list and read template definitions; template content is stored as data (template key plus entity types etc.), never as hardcoded vertical language; an org-scoped lookup never returns a global template for mutation; tenant-scoped; audited; foreign/unknown templates hidden-404; non-privileged roles cannot create.","Integration: Owner/Admin creates a template and reads/lists it; a global template is not mutated through the org-scoped route; a foreign-tenant template is hidden-404; a non-privileged role is 403; the boundary scan stays green.","TIER 2 HIGH (consumability - TemplateEndpoints.cs ~79 currently exposes ONLY MapDelete and the existing delete row is the only template route in csv/api_routes.csv; create/list deliberately-absent per docs/24). Templates are reusable vertical scaffolding stored as data (docs/04 template boundary). Reuse the Template model/repository + the Owner/Admin authz the delete route already uses. Add POST and GET routes under /api/v1/organizations/{organizationSlug}/templates. Fail-closed; hidden-404; audited. Update csv/api_routes.csv, docs/08, docs/24, SDK in CORE-SDK-006."
CORE-CB-001,Vertical Authoring and Read API Completeness,Add the content block list and read endpoints,livecore-platform,"An authoring role can list a scene content blocks and read a single content block with a role-appropriate projection (a participant never receives hidden/unrevealed content, T2); tenant/workspace/scene-scoped; foreign/unknown blocks hidden-404.","Integration: an authoring role lists a scene content blocks and reads one back; a participant gets only revealed/visible content via the projection; a foreign-tenant or wrong-scene block is hidden-404; the host vs participant responses differ exactly on the hidden fields.","TIER 2 MEDIUM (consumability - ContentBlockEndpoints.cs ~90-91 exposes only create+delete; there is no list/read, so a client cannot enumerate authored content). Reuse the Content domain + the server-side visibility projection (VisibilityPolicy / the participant visible-feed projection) so reads are filtered server-side, never UI-only (T2). Add GET list /api/v1/scenes/{sceneId}/content-blocks and GET by-id. Fail-closed; hidden-404. Update csv/api_routes.csv, docs/08, SDK in CORE-SDK-006."
CORE-DX-001,API Contract and Consumer Ergonomics,Add stable machine-readable error codes to Problem Details,livecore-platform,"Every Problem Details response carries a stable machine-readable error code (a type URI or a code extension member) drawn from a documented catalog so a consumer can branch on the code not the human detail string; the three distinct 409s (quota-exceeded, workspace-archived, concurrency-conflict) are distinguishable by code; the code enum is published in @livecore/contracts; no content/PII leaks in the error (T7).","Integration: the quota, archived and concurrency 409s return distinct stable codes; a sample of 4xx/5xx responses each carry a code from the catalog; a contract test that the published code enum matches the server catalog.","TIER 1 HIGH (consumability - every handler calls Results.Problem(statusCode,title,detail) with NO type and NO extension code (Sessions/SessionEndpoints.cs ~974/983/1015, Persistence/ConcurrencyConflictMiddleware.cs ~62); a grep for type:/extensions: in Results.Problem returns zero; contracts/src/problem-details.ts ~9 declares type? but the server never sets it). Add a shared problem helper that sets a stable code from a documented catalog; publish the enum in @livecore/contracts. Pairs with CORE-RES-001 (the global handler reuses the helper) and CORE-OAS-001. Update docs/08, csv if needed."
CORE-DX-002,API Contract and Consumer Ergonomics,Expose the optimistic-concurrency token as ETag and honor If-Match,livecore-platform,"Read responses for mutable aggregates carry the concurrency token as a weak ETag and mutating routes accept If-Match, returning 412/409 on a stale token so a consumer GET-then-PUT across HTTP cannot silently clobber a concurrent change; the existing xmin concurrency tokens are surfaced in the contract DTOs and SDK; an absent If-Match preserves current behavior.","Integration: a stale If-Match is rejected (412/409) while a current one succeeds; two clients doing read-modify-write cannot both win; the ETag round-trips through the SDK; existing concurrency tests stay green.","TIER 1 HIGH (consumability - the backend paid for xmin concurrency tokens across every mutable aggregate (CORE-CONC-006) but Persistence/ConcurrencyConflictMiddleware.cs only catches an in-request race; the token is never returned (no ETag; SessionResponse etc. carry no version - contracts/src/sessions.ts ~11) and no handler reads If-Match, so a consumer sees last-write-wins). Surface the token as a weak ETag on reads + honor If-Match on mutations. Reuse the existing concurrency token + middleware. Update contracts/SDK (CORE-SDK-006), docs/08. Pairs with CORE-OAS-001."
CORE-DX-003,API Contract and Consumer Ergonomics,Add bounded pagination to all list endpoints and a session read-one,livecore-platform,"Every list endpoint (sessions, scenes, workspaces, pending invitations, entities, content-blocks) accepts limit/offset (or a cursor) clamped to a documented maximum with a default and returns a stable items+hasMore envelope like the existing audit page; a new GET /api/v1/sessions/{sessionId} returns a single role-projected session; no list returns an unbounded array.","Integration: a list past the max page size is clamped; hasMore/paging is correct across pages; GET session by-id returns the role-projected session and is hidden-404 for a foreign/unknown id; an over-large workspace does not return an unbounded payload.","TIER 1 HIGH (consumability + DoS - only Audit/AuditLogEndpoints paginates (AuditLogPageResponse); every other list returns the full table as a bare array (sessions SessionEndpoints.cs ~220-225, scenes SceneEndpoints.cs ~209-214, workspaces WorkspaceEndpoints.cs ~176-179, pending invitations ~802) and create-scene even loads the whole list to compute next order (SceneEndpoints.cs ~406); there is also no GET session-by-id (scenes have one at SceneEndpoints.cs ~131)). Mirror the AuditLogPageResponse envelope + clamp. Update csv/api_routes.csv, docs/08, SDK (CORE-SDK-006). Benefits the CORE-PERF-001 path."
CORE-DX-004,API Contract and Consumer Ergonomics,Honor Idempotency-Key on create and purchase-verification routes,livecore-platform,"Unsafe POSTs that create resources or have money/entitlement effects accept an Idempotency-Key and return the original result on replay so a client/network retry cannot double-create or re-run external verification; covered routes include session/scene/content-block/workspace create, asset link create, and the Apple/Google purchase-verification routes; replay is tenant-scoped and bounded by the existing idempotency store.","Integration: a repeated create with the same Idempotency-Key returns the original resource and creates exactly one; a retried purchase verify does not re-run the external verifier or re-append audit facts; a different key creates a new resource.","TIER 2 HIGH (consumability/correctness - the contract (contracts/src/http.ts ~26) and SDK transport (sdk-ts/src/http.ts ~159) already support Idempotency-Key and an idempotency_keys table + IIdempotencyKeyStore exist, but ONLY the reveal command consumes them; no create handler reads it (CreateSessionAsync SessionEndpoints.cs ~229, CreateSceneAsync SceneEndpoints.cs ~304, CreateContentBlockAsync ContentBlockEndpoints.cs ~97); purchase verify Store/ApplePurchaseEndpoints.cs ~101 dedups only on (provider, transactionId), so a pre-result retry re-runs the verifier and re-appends audit ~164-169/193-198). Reuse IIdempotencyKeyStore. Update docs/08, csv. Pairs with CORE-RES-002."
CORE-DX-005,API Contract and Consumer Ergonomics,Expose browser-consumer response headers and rate-limit headers,livecore-platform,"The CORS policy exposes the response headers a browser SDK must read (Retry-After, Location, the request-id header from CORE-OBS-005, and RateLimit-* headers); the rate limiter emits RateLimit-Limit/Remaining/Reset on success and 429; the SDK surfaces retryAfter and rate-limit info on its error type instead of discarding response headers.","Integration: a cross-origin response includes the exposed headers; a 429 carries Retry-After + RateLimit-* with no tenant/principal detail (T7); an SDK unit test that the error type exposes retryAfter/rate-limit fields.","TIER 2 MEDIUM (consumability - Hosting/CorsConfiguration.cs ~108-112 sets AllowAnyHeader/Method + AllowCredentials but never WithExposedHeaders (grep zero), so a browser fetch cannot read Retry-After (RateLimitingConfiguration.cs ~251) or Location (SessionEndpoints.cs ~400); no RateLimit-* headers are emitted; the SDK drops all response headers (sdk-ts/src/http.ts ~176, errors.ts ~34)). Add WithExposedHeaders + RateLimit-* + SDK surfacing. Reuse the existing rate limiter + CORS policy. Update docs/08, docs/07, SDK (CORE-SDK-006)."
CORE-DX-006,API Contract and Consumer Ergonomics,Establish an API deprecation and sunset policy,livecore-platform,"The API has a documented evolution/deprecation policy and the mechanism to honor it - a retiring route or field returns Deprecation and Sunset headers (RFC 8594) with a documented additive-only rule for non-breaking change - so a vertical gets advance signal before a contract changes; the convention is established even if no route is deprecated yet.","Integration: a route flagged deprecated returns Deprecation/Sunset headers; a doc/test asserts the additive-only evolution rule; the headers are exposed via CORS (with CORE-DX-005).","TIER 3 MEDIUM (consumability - versioning is purely the /api/v1 path literal (contracts/src/http.ts ~10); grep for Sunset/Deprecation/api-version returns zero in apps/api; there is no non-breaking evolution path so any change forces a whole v2 cutover with no advance signal). Record the policy in docs/02/docs/23 and add the header mechanism. Pairs with CORE-OAS-001 (the OpenAPI doc marks deprecations). No behavior change beyond the convention."
CORE-PRIV-001,Privacy and Data Lifecycle,Implement data-subject erasure and anonymization,livecore-platform,"An authorized request can erase or anonymize a data subject personal data - the user profile (OIDC subject, email, display name), their participant display data, and any invited-email rows - while preserving the PII-free immutable audit chain; erasure cascades/anonymizes via the FKs the schema already defines (export/asset CreatedByUserProfileId ON DELETE SET NULL) so dependent records survive anonymized; the operation is tenant-scoped, authorized, audited by id only, and fail-closed.","Integration: after erasure the subject email/display name/OIDC subject are gone or anonymized everywhere they were stored; exports/assets they created survive with a null/anonymized creator; the audit hash chain still verifies; an unauthorized caller is denied.","TIER 1 BLOCKER (privacy/GDPR Art.17 - there is NO erasure path anywhere: IUserProfileRepository exposes only FindByOidcIdentity/Add/Update (no delete/anonymize); UserProfile holds Email+DisplayName (~112-119); Participant.DisplayName and WorkspaceInvitation.InvitedEmail (plaintext) have no erasure. The schema already ASSUMES user deletion - ExportJob.cs ~33/180-181 and Asset CreatedByUserProfileId are NULLABLE ON DELETE SET NULL so the job survives anonymized - but nothing ever deletes a users row. The PII-free audit log (AuditLogEntry holds only ids/enums) makes erasure reconcilable with immutability). Implement the user delete/anonymize command the SET-NULL FKs assume. Update docs/07, docs/10, the privacy doc (CORE-PRIV-005), csv/api_routes.csv."
CORE-PRIV-002,Privacy and Data Lifecycle,Add authorized tenant organization deletion,livecore-platform,"An authorized Owner can delete an organization, triggering the existing DB cascade so all that tenant workspaces, sessions, participants, memberships and audit log are removed (tenant offboarding / data deletion); the action is authorized, guarded, and fail-closed; a foreign or unknown organization is hidden-404.","Integration: deleting an organization removes all its child data via the cascade; only an authorized Owner may delete (403 otherwise); a foreign-tenant or unknown org is hidden-404; data of other tenants is untouched.","TIER 2 HIGH (privacy/offboarding - csv/api_routes.csv has only DELETE .../members/{memberId} and .../templates/{templateId}; there is NO DELETE /api/v1/organizations/{slug}. The cascade config exists but is unreachable: AuditLogConfiguration.cs ~19, OrganizationMemberConfiguration.cs ~80, WorkspaceConfiguration.cs ~107 all OnDelete(Cascade), and OrganizationRepository has no delete). Add the authorized deletion command that triggers the existing cascade (the audit log is intentionally part of tenant teardown). Update csv/api_routes.csv, docs/08, docs/10, the privacy doc."
