id,epic,title,repo,acceptance_criteria,required_tests,notes
CORE-DEP-009,Kubernetes Deployment Hardening,Make the Helm chart fail safe when multiple API replicas run without a realtime backplane,livecore-platform,"A default helm install does not silently run multiple API replicas on the in-process backplane; either api.replicaCount defaults to 1, or the chart refuses to render (helm fail) and NOTES.txt prominently warns when api.replicaCount is greater than 1 and Realtime__Backplane__ConnectionString is empty; when a backplane is configured, more than one replica renders without warning; the documented HA topology (replicas plus backplane plus sticky sessions) renders cleanly.","helm-chart CI job (test-helm-chart.ps1 plus helm template): rendering with replicaCount greater than 1 and an empty backplane fails or emits the warning; rendering with replicaCount greater than 1 and a configured backplane succeeds with no warning; rendering with replicaCount 1 succeeds; the existing migrate-gate, probes and no-baked-secret assertions stay green.","TIER 1 BLOCKER (HA correctness, production-review finding B1, corroborated by the architecture and SRE reviews). deploy/helm/livecore/values.yaml sets api.replicaCount: 2 while Realtime__Backplane__ConnectionString is empty, so a default install runs two API pods on InProcessRealtimeBackplane and a reveal computed on pod A never reaches clients on pod B (RealtimeServiceCollectionExtensions.cs ~66-81). Chart-only fix here (app-side fail-fast is CORE-RES-006). Prefer replicaCount default 1 plus a NOTES.txt or helm fail guard. Update deploy/helm/livecore/values.yaml, templates/NOTES.txt, the chart README and docs/13. Pairs with CORE-DEP-013 and CORE-RES-006."
CORE-RES-006,Multi-Instance Runtime Correctness,Fail fast when the API runs multi-instance without a realtime backplane,livecore-platform,"When the API is configured to run as more than one instance, or whenever the in-process backplane is selected in a container/production environment, and no realtime backplane connection string is configured, the app fails fast at startup with a clear error or logs a single prominent startup warning that cross-instance realtime delivery is disabled; a correctly configured backplane starts silently; single-instance development is unaffected.","Unit: the startup validator flags the misconfiguration (multi-instance plus no backplane) and is silent for a configured backplane and for an explicit single-instance; fail-closed default. Reuse the ProductionConfigurationValidator pattern (ProductionConfigurationValidator.cs ~74-86).","TIER 1 MAJOR, defense-in-depth for CORE-DEP-009 (architecture and SRE finding). RealtimeBackplaneOptions.cs ~16-23 makes the backplane opt-in and ProductionConfigurationValidator deliberately omits it, so the failure is silent. Add the backplane to the production-config decision (or a dedicated check). App change in apps/api Hosting/config validation. Update docs/11 and docs/13."
CORE-DEP-010,Kubernetes Deployment Hardening,Ship resource requests and limits in the Helm chart,livecore-platform,"The rendered migrate Job, API Deployment and worker Deployment each carry non-empty resources.requests and resources.limits by default, sized to mirror the Compose baseline; the values are overridable; the CORE-DEP-007 resource-ceiling guarantee holds on the Kubernetes path, not only on Compose.","helm-chart CI job: assert every rendered Pod template (migrate, api, worker) has resources.requests.cpu, requests.memory, limits.cpu and limits.memory set; kubeconform stays green; a values override changes the rendered numbers.","TIER 1 BLOCKER (production-review finding B2). deploy/helm/livecore/values.yaml has resources: empty for migrate/api/worker, but docs/13 ~203 claims the K8s path sizes the same ceilings as the Compose requests/limits, which it does not. A runaway API pod can starve the node (the exact failure CORE-DEP-007 prevents on Compose). Mirror the Compose sizing (docker-compose.yml ~73-77 and siblings). Update values.yaml, the consuming templates, the chart README and docs/13."
CORE-DEP-013,Kubernetes Deployment Hardening,Document and wire sticky-session affinity for multi-replica realtime,livecore-platform,"The chart and docs make the realtime affinity requirement explicit: when multiple API replicas serve SignalR, the ingress or Service config pins a client to one replica (session affinity) or a WebSockets-only transport is documented and supported; the Ingress template exposes the needed annotations; the default single-replica path is unaffected.","helm-chart CI job: with ingress.enabled true and replicaCount greater than 1 the rendered Ingress carries the session-affinity annotations (or the values document the WebSocket-only requirement); rendered manifests stay kubeconform-valid.","TIER 2 MAJOR (SRE finding: the sticky-session requirement is implicit; RealtimeEndpoints.cs ~23 does not force WebSockets/SkipNegotiation, so SignalR negotiate plus long-polling across replicas needs affinity). Update templates/ingress.yaml, values.yaml, the chart README, docs/11 and docs/13. Pairs with CORE-DEP-009."
CORE-DEP-011,Kubernetes Deployment Hardening,Add an opt-in HorizontalPodAutoscaler for the API,livecore-platform,"The chart ships an optional HorizontalPodAutoscaler for the API Deployment, disabled by default (autoscaling.enabled false) with documented CPU/memory targets and min/max replicas; when enabled it renders a schema-valid HPA targeting the API Deployment; enabling it implies the backplane requirement from CORE-DEP-009.","helm-chart CI job: with autoscaling.enabled true the rendered HPA passes kubeconform and references the API Deployment; the default render contains no HPA; enabling autoscaling without a backplane trips the CORE-DEP-009 guard.","TIER 2 MAJOR (SRE finding: no HPA exists, so the documented horizontal-scaling guidance in docs/13 ~233-260 has no automated mechanism). New template deploy/helm/livecore/templates/api-hpa.yaml gated on a values flag. Update values.yaml, NOTES.txt, the chart README and docs/13. Pairs with CORE-DEP-009 and CORE-DEP-012."
CORE-DEP-012,Kubernetes Deployment Hardening,Add a PodDisruptionBudget for the API and worker,livecore-platform,"The chart ships a PodDisruptionBudget so a voluntary disruption (node drain or upgrade) cannot evict all API replicas at once; it renders schema-valid, selects the API pods, uses a sensible default tied to replicaCount, is overridable, and is safe at replicaCount 1.","helm-chart CI job: the rendered PDB passes kubeconform and selects the API pods; with replicaCount greater than 1 the PDB keeps at least one pod available; kubeconform stays green.","TIER 2 MAJOR (SRE finding: with replicaCount 2 and no PDB a node drain can take both API pods down, a full outage). New template templates/api-pdb.yaml (optionally a worker PDB). Update values.yaml, the chart README and docs/13."
CORE-DEP-014,Kubernetes Deployment Hardening,Bound the database connection pool across replicas,livecore-platform,"The default database connection string or a documented Helm value sets a bounded Npgsql Max Pool Size, and the docs state the replicas-times-pool-size must stay at or below PostgreSQL max_connections with a worked example; scaling replicas via the chart cannot silently exhaust PostgreSQL connections without the operator being warned in docs.","Unit/config test: the resolved pool size honors the configured Max Pool Size; the helm-chart or doc gate references the connection-budget relationship (no live Postgres needed).","TIER 2 MAJOR (SRE finding: AddDbContextPool sets no pool size, Program.cs ~377; Npgsql defaults to 100 per process, so N replicas can exceed the Postgres default max_connections of 100; currently doc-enforced only, docs/13 ~626-632). Add a sane default Max Pool Size and surface it as a Helm value. Update values.yaml, the configmap/secret templates as needed and docs/13."
CORE-SEC-010,Kubernetes Deployment Hardening,Make the Helm chart secure by default (AllowedHosts and forwarded headers),livecore-platform,"The Helm chart does not render an allow-all host filter by default: AllowedHosts renders to a safe non-empty value, or the chart requires the operator to set it and fails or warns when empty, so host-header validation is on by default; the deployment guidance and chart document the ForwardedHeaders KnownProxies/KnownNetworks configuration required behind a load balancer so the anonymous rate-limit partition does not collapse to a single bucket; the secure defaults are overridable; single-node Compose behavior is unchanged.","helm-chart CI job: the rendered manifests do not carry an empty allow-all AllowedHosts by default (it is non-empty, or the render fails or warns when unset); the documented forwarded-headers requirement is present; kubeconform and the existing chart assertions stay green.","TIER 3 MINOR (security review secure-by-default gap). values.yaml ~61 ships AllowedHosts empty and ASP.NET treats empty as allow-all; without configured ForwardedHeaders KnownProxies/KnownNetworks the anonymous rate-limit partition collapses to one bucket (RateLimitingConfiguration.cs ~307-311). The tracked appsettings.json is already restrictive; this closes the Helm path. Update deploy/helm/livecore/values.yaml, the configmap template, the chart README and docs/13 (deployment hardening). Pairs with CORE-DEP-009 and CORE-DEP-010."
CORE-RES-007,Multi-Instance Runtime Correctness,Invalidate the authorization cache across replicas on revocation,livecore-platform,"A membership or role revocation takes effect across all API replicas within a bounded, documented window; either the per-process authorization cache is invalidated cross-instance over the configured backplane on a revocation, or the eventual-consistency window (cache TTL) is documented as an operational caveat and made configurable with a safe default; positive-cache only; no new fail-open path.","Unit/integration: a revocation invalidates (or expires within the documented TTL) the cached authorization on a second logical instance; the cache never serves access after the documented window. Reuse AuthorizationLookupCache (AuthorizationLookupCache.cs ~135-162, AuthorizationCacheOptions.cs ~51).","TIER 2 MAJOR (SRE finding: the authz cache is per-process IMemoryCache, so a revocation on replica A lingers up to ~10s on replica B). Minimal viable: document plus configurable TTL; better: publish an invalidation message over the existing backplane. Update docs/06 and docs/13."
CORE-RES-008,Multi-Instance Runtime Correctness,Evict realtime connections across replicas on demotion,livecore-platform,"When a user is demoted or removed, their live realtime connection is aborted on every replica, not only the instance that handled the change; eviction is propagated over the configured backplane; single-instance behavior is unchanged; a connection on another replica is terminated within a bounded window.","Integration (two API instances plus a real backplane, mirroring RedisBackplanePropagationTests): a demotion on instance A aborts the target socket on instance B; an unrelated connection is untouched.","TIER 2 MAJOR (SRE finding: RealtimeConnectionRegistry.cs ~78-126 only aborts sockets on the local instance, so a demoted user keeps a live socket on another replica until reconnect). Reuse the backplane channel the realtime fan-out already uses. Update docs/11 and docs/13. Pairs with CORE-RES-007."
